token_id,title
86,Nick of Time (1995)
87,"Journey of August King, The (1995)"
88,Mary Reilly (1996)
89,Vampire in Brooklyn (1995)
90,Beautiful Girls (1996)
91,Broken Arrow (1996)
92,In the Bleak Midwinter (1995)
93,"Hate (Haine, La) (1995)"
94,Shopping (1994)
95,Heidi Fleiss: Hollywood Madam (1995)
96,City Hall (1996)
97,Bottle Rocket (1996)
98,Mr. Wrong (1996)
99,Unforgettable (1996)
100,Happy Gilmore (1996)
101,"Bridges of Madison County, The (1995)"
102,Nobody Loves Me (Keiner liebt mich) (1994)
103,Muppet Treasure Island (1996)
104,Catwalk (1995)
105,Braveheart (1995)
106,Taxi Driver (1976)
107,Rumble in the Bronx (1995)
108,Before and After (1996)
109,Margaret's Museum (1995)
110,Anne Frank Remembered (1995)
111,"Young Poisoner's Handbook, The (1995)"
112,If Lucy Fell (1996)
113,"Steal Big, Steal Little (1995)"
114,"Boys of St. Vincent, The (1993)"
115,Boomerang (1992)
116,Chungking Express (1994)
117,"Star Maker, The (Uomo delle stelle, L') (1995)"
118,Flirting With Disaster (1996)
119,"NeverEnding Story III, The (1994)"
120,Jupiter's Wife (1994)
121,Pie in the Sky (1995)
122,Frankie Starlight (1995)
123,Jade (1995)
124,Down Periscope (1996)
125,From the Journals of Jean Seberg (1995)
126,Man of the Year (1995)
127,Up Close and Personal (1996)
128,"Birdcage, The (1996)"
129,"Brothers McMullen, The (1995)"
130,Bad Boys (1995)
131,"Amazing Panda Adventure, The (1995)"
132,"Basketball Diaries, The (1995)"
133,"Awfully Big Adventure, An (1995)"
134,Amateur (1994)
135,Apollo 13 (1995)
136,Rob Roy (1995)
137,"Addiction, The (1995)"
138,Batman Forever (1995)
139,Belle de jour (1967)
140,Beyond Rangoon (1995)
141,Blue in the Face (1995)
142,Canadian Bacon (1994)
143,Casper (1995)
144,Clockers (1995)
145,Congo (1995)
146,Crimson Tide (1995)
147,Crumb (1994)
148,Desperado (1995)
149,Devil in a Blue Dress (1995)
150,Die Hard: With a Vengeance (1995)
151,"Doom Generation, The (1995)"
152,Feast of July (1995)
153,First Knight (1995)
154,Free Willy 2: The Adventure Home (1995)
155,Hackers (1995)
156,Jeffrey (1995)
157,Johnny Mnemonic (1995)
158,Judge Dredd (1995)
159,Jury Duty (1995)
160,Kids (1995)
161,Living in Oblivion (1995)
162,Lord of Illusions (1995)
163,Love & Human Remains (1993)
164,Mad Love (1995)
165,Mallrats (1995)
166,Mighty Morphin Power Rangers: The Movie (1995)
167,Moonlight and Valentino (1995)
168,Mute Witness (1994)
169,Nadja (1994)
170,"Net, The (1995)"
171,Nine Months (1995)
172,Party Girl (1995)
173,"Prophecy, The (1995)"
174,Reckless (1995)
175,Safe (1995)
176,"Scarlet Letter, The (1995)"
177,Showgirls (1995)
178,Smoke (1995)
179,Something to Talk About (1995)
180,Species (1995)
181,"Stars Fell on Henrietta, The (1995)"
182,Strange Days (1995)
183,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
184,"Tie That Binds, The (1995)"
185,Three Wishes (1995)
186,Total Eclipse (1995)
187,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
188,Under Siege 2: Dark Territory (1995)
189,Unstrung Heroes (1995)
190,Unzipped (1995)
191,"Walk in the Clouds, A (1995)"
192,Waterworld (1995)
193,White Man's Burden (1995)
194,Wild Bill (1995)
195,"Browning Version, The (1994)"
196,Bushwhacked (1995)
197,Burnt By the Sun (Utomlyonnye solntsem) (1994)
198,Before the Rain (Pred dozhdot) (1994)
199,Before Sunrise (1995)
200,Billy Madison (1995)
201,"Babysitter, The (1995)"
202,Boys on the Side (1995)
203,"Cure, The (1995)"
204,Castle Freak (1995)
205,Circle of Friends (1995)
206,Clerks (1994)
207,Don Juan DeMarco (1995)
208,Disclosure (1994)
209,Drop Zone (1994)
210,Destiny Turns on the Radio (1995)
211,Death and the Maiden (1994)
212,Dolores Claiborne (1994)
213,Dumb & Dumber (1994)
214,Eat Drink Man Woman (1994)
215,Exotica (1994)
216,Exit to Eden (1994)
217,Ed Wood (1994)
218,French Kiss (1995)
219,Forget Paris (1995)
220,Far From Home: The Adventures of Yellow Dog (1995)
221,"Goofy Movie, A (1995)"
222,Hideaway (1995)
223,Fluke (1995)
224,Farinelli: il castrato (1994)
225,Gordy (1995)
226,Gumby: The Movie (1995)
227,"Glass Shield, The (1994)"
228,Hoop Dreams (1994)
229,Heavenly Creatures (1994)
230,Houseguest (1994)
231,Immortal Beloved (1994)
232,Heavyweights (1994)
233,"Hunted, The (1995)"
234,I.Q. (1994)
235,Interview with the Vampire (1994)
236,Jefferson in Paris (1995)
237,"Jerky Boys, The (1994)"
238,Junior (1994)
239,Just Cause (1995)
240,"Kid in King Arthur's Court, A (1995)"
241,Kiss of Death (1995)
242,Star Wars: Episode IV - A New Hope (1977)
243,Little Women (1994)
244,"Little Princess, A (1995)"
245,Ladybird Ladybird (1994)
246,"Enfer, L' (1994)"
247,Like Water for Chocolate (Como agua para chocolate) (1992)
248,Legends of the Fall (1994)
249,Major Payne (1994)
250,Little Odessa (1994)
251,My Crazy Life (Mi vida loca) (1993)
252,Love Affair (1994)
253,Losing Isaiah (1995)
254,"Madness of King George, The (1994)"
255,Mary Shelley's Frankenstein (1994)
256,Man of the House (1995)
257,Mixed Nuts (1994)
258,Milk Money (1994)
259,Miracle on 34th Street (1994)
260,Miami Rhapsody (1995)
261,My Family (1995)
262,Murder in the First (1995)
263,Nobody's Fool (1994)
264,Nell (1994)
265,New Jersey Drive (1995)
266,Nina Takes a Lover (1994)
267,Natural Born Killers (1994)
268,Only You (1994)
269,Once Were Warriors (1994)
270,Poison Ivy II (1995)
271,Outbreak (1995)
272,"Professional, The (a.k.a. Leon: The Professional) (1994)"
273,"Perez Family, The (1995)"
274,"Pyromaniac's Love Story, A (1995)"
275,Pulp Fiction (1994)
276,Panther (1995)
277,Pushing Hands (1992)
278,Priest (1994)
279,Quiz Show (1994)
280,Picture Bride (1995)
281,Queen Margot (La Reine Margot) (1994)
282,"Quick and the Dead, The (1995)"
283,Roommates (1995)
284,Ready to Wear (Pret-A-Porter) (1994)
285,Three Colors: Red (1994)
286,Three Colors: Blue (1993)
287,Three Colors: White (1994)
288,"Red Firecracker, Green Firecracker (1994)"
289,Rent-a-Kid (1995)
290,Stuart Saves His Family (1995)
291,"Swan Princess, The (1994)"
292,"Secret of Roan Inish, The (1994)"
293,"Specialist, The (1994)"
294,Stargate (1994)
295,"Santa Clause, The (1994)"
296,"Shawshank Redemption, The (1994)"
297,Shallow Grave (1994)
298,Suture (1993)
299,Strawberry and Chocolate (Fresa y chocolate) (1993)
300,Swimming with Sharks (1995)
301,"Sum of Us, The (1994)"
302,National Lampoon's Senior Trip (1995)
303,To Live (Huozhe) (1994)
304,Tank Girl (1995)
305,Tales From the Crypt Presents: Demon Knight (1995)
306,Star Trek: Generations (1994)
307,Tales from the Hood (1995)
308,Tom & Viv (1994)
309,Village of the Damned (1995)
310,Tommy Boy (1995)
311,Vanya on 42nd Street (1994)
312,"Underneath, The (1995)"
313,"Walking Dead, The (1995)"
314,What's Eating Gilbert Grape (1993)
315,Virtuosity (1995)
316,While You Were Sleeping (1995)
317,"War, The (1994)"
318,Double Happiness (1994)
319,Muriel's Wedding (1994)
320,"Baby-Sitters Club, The (1995)"
321,Ace Ventura: Pet Detective (1994)
322,"Adventures of Priscilla, Queen of the Desert, The (1994)"
323,Backbeat (1993)
324,Bitter Moon (1992)
325,Bullets Over Broadway (1994)
326,Clear and Present Danger (1994)
327,"Client, The (1994)"
328,"Corrina, Corrina (1994)"
329,Crooklyn (1994)
330,"Crow, The (1994)"
331,Cobb (1994)
332,"Flintstones, The (1994)"
333,Forrest Gump (1994)
334,Four Weddings and a Funeral (1994)
335,Higher Learning (1995)
336,I Like It Like That (1994)
337,I Love Trouble (1994)
338,It Could Happen to You (1994)
339,"Jungle Book, The (1994)"
340,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)"
341,"Lion King, The (1994)"
342,Little Buddha (1993)
343,Wes Craven's New Nightmare (1994)
344,"Mask, The (1994)"
345,Maverick (1994)
346,Mrs. Parker and the Vicious Circle (1994)
347,Naked Gun 33 1/3: The Final Insult (1994)
348,"Paper, The (1994)"
349,Reality Bites (1994)
350,Red Rock West (1992)
351,Richie Rich (1994)
352,Safe Passage (1994)
353,"River Wild, The (1994)"
354,Speed (1994)
355,Speechless (1994)
356,Timecop (1994)
357,True Lies (1994)
358,When a Man Loves a Woman (1994)
359,Wolf (1994)
360,Wyatt Earp (1994)
361,Bad Company (1995)
362,"Man of No Importance, A (1994)"
363,S.F.W. (1994)
364,"Low Down Dirty Shame, A (1994)"
365,Boys Life (1995)
366,"Colonel Chabert, Le (1994)"
367,Faster Pussycat! Kill! Kill! (1965)
368,Jason's Lyric (1994)
369,"Secret Adventures of Tom Thumb, The (1993)"
370,Street Fighter (1994)
371,Coldblooded (1995)
372,"Fear, The (1995)"
373,Highlander III: The Sorcerer (1994)
374,Federal Hill (1994)
375,In the Mouth of Madness (1995)
376,8 Seconds (1994)
377,Above the Rim (1994)
378,Addams Family Values (1993)
379,You So Crazy (1994)
380,"Age of Innocence, The (1993)"
381,Airheads (1994)
382,"Air Up There, The (1994)"
383,Another Stakeout (1993)
384,Bad Girls (1994)
385,Barcelona (1994)
386,Being Human (1993)
387,"Beverly Hillbillies, The (1993)"
388,Beverly Hills Cop III (1994)
389,Black Beauty (1994)
390,Blink (1994)
391,Blown Away (1994)
392,Blue Chips (1994)
393,Blue Sky (1994)
394,Body Snatchers (1993)
395,Boxing Helena (1993)
396,"Bronx Tale, A (1993)"
397,Cabin Boy (1994)
398,Calendar Girl (1993)
399,Carlito's Way (1993)
400,City Slickers II: The Legend of Curly's Gold (1994)
401,Clean Slate (1994)
402,Cliffhanger (1993)
403,Coneheads (1993)
404,Color of Night (1994)
405,Cops and Robbersons (1994)
406,"Cowboy Way, The (1994)"
407,Dave (1993)
408,Dazed and Confused (1993)
409,Demolition Man (1993)
410,"Endless Summer 2, The (1994)"
411,Even Cowgirls Get the Blues (1993)
412,Fatal Instinct (1993)
413,Farewell My Concubine (1993)
414,"Favor, The (1994)"
415,Fearless (1993)
416,Fear of a Black Hat (1993)
417,With Honors (1994)
418,Flesh and Bone (1993)
419,Widows' Peak (1994)
420,For Love or Money (1993)
421,"Firm, The (1993)"
422,Free Willy (1993)
423,Fresh (1994)
424,"Fugitive, The (1993)"
425,Geronimo: An American Legend (1993)
426,"Getaway, The (1994)"
427,Getting Even with Dad (1994)
428,Go Fish (1994)
429,"Good Man in Africa, A (1994)"
430,Guilty as Sin (1993)
431,Hard Target (1993)
432,Heaven & Earth (1993)
433,Hot Shots! Part Deux (1993)
434,Live Nude Girls (1995)
435,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)"
436,"House of the Spirits, The (1993)"
437,House Party 3 (1994)
438,"Hudsucker Proxy, The (1994)"
439,I'll Do Anything (1994)
440,In the Army Now (1994)
441,In the Line of Fire (1993)
442,In the Name of the Father (1993)
443,"Inkwell, The (1994)"
444,What's Love Got to Do with It? (1993)
445,Jimmy Hollywood (1994)
446,Judgment Night (1993)
447,Jurassic Park (1993)
448,Kalifornia (1993)
449,Killing Zoe (1994)
450,King of the Hill (1993)
451,Lassie (1994)
452,Last Action Hero (1993)
453,Life with Mikey (1993)
454,Lightning Jack (1994)
455,M. Butterfly (1993)
456,Made in America (1993)
457,Malice (1993)
458,"Man Without a Face, The (1993)"
459,Manhattan Murder Mystery (1993)
460,Menace II Society (1993)
461,Executive Decision (1996)
462,In the Realm of the Senses (Ai no corrida) (1976)
463,What Happened Was... (1994)
464,Much Ado About Nothing (1993)
465,Mr. Jones (1993)
466,Mr. Wonderful (1993)
467,Mrs. Doubtfire (1993)
468,Naked (1993)
469,"Next Karate Kid, The (1994)"
470,"New Age, The (1994)"
471,No Escape (1994)
472,North (1994)
473,Orlando (1993)
474,"Perfect World, A (1993)"
475,Philadelphia (1993)
476,"Piano, The (1993)"
477,Poetic Justice (1993)
478,"Program, The (1993)"
479,Robert A. Heinlein's The Puppet Masters (1994)
480,Radioland Murders (1994)
481,"Ref, The (1994)"
482,"Remains of the Day, The (1993)"
483,Renaissance Man (1994)
484,Rising Sun (1993)
485,"Road to Wellville, The (1994)"
486,Robocop 3 (1993)
487,Robin Hood: Men in Tights (1993)
488,Romeo Is Bleeding (1993)
489,Romper Stomper (1992)
490,Ruby in Paradise (1993)
491,Rudy (1993)
492,"Saint of Fort Washington, The (1993)"
493,"Savage Nights (Nuits fauves, Les) (1992)"
494,Schindler's List (1993)
495,"Scout, The (1994)"
496,Searching for Bobby Fischer (1993)
497,"Secret Garden, The (1993)"
498,Serial Mom (1994)
499,"Shadow, The (1994)"
500,Shadowlands (1993)
501,Short Cuts (1993)
502,"Simple Twist of Fate, A (1994)"
503,Sirens (1994)
504,Six Degrees of Separation (1993)
505,Sleepless in Seattle (1993)
506,Sliver (1993)
507,Blade Runner (1982)
508,Son in Law (1993)
509,So I Married an Axe Murderer (1993)
510,Striking Distance (1993)
511,Super Mario Bros. (1993)
512,Surviving the Game (1994)
513,Terminal Velocity (1994)
514,Thirty-Two Short Films About Glenn Gould (1993)
515,Threesome (1994)
516,"Nightmare Before Christmas, The (1993)"
517,"Three Musketeers, The (1993)"
518,Tombstone (1993)
519,Trial by Jury (1994)
520,True Romance (1993)
521,"War Room, The (1993)"
522,"Pagemaster, The (1994)"
523,"Paris, France (1993)"
524,"Beans of Egypt, Maine, The (1994)"
525,Killer (Bulletproof Heart) (1994)
526,Welcome to the Dollhouse (1995)
527,Germinal (1993)
528,Chasers (1994)
529,Cronos (1992)
530,Naked in New York (1994)
531,Kika (1993)
532,Bhaji on the Beach (1993)
533,Little Big League (1994)
534,"Slingshot, The (Kådisbellan ) (1993)"
535,"Wedding Gift, The (1994)"
536,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)"
537,Spanking the Monkey (1994)
538,"Little Rascals, The (1994)"
539,Andre (1994)
540,Princess Caraboo (1994)
541,"Celluloid Closet, The (1995)"
542,Dear Diary (Caro Diario) (1994)
543,"Brady Bunch Movie, The (1995)"
544,Home Alone (1990)
545,Ghost (1990)
546,Aladdin (1992)
547,Terminator 2: Judgment Day (1991)
548,Dances with Wolves (1990)
549,Batman (1989)
550,"Silence of the Lambs, The (1991)"
551,Snow White and the Seven Dwarfs (1937)
552,Beauty and the Beast (1991)
553,Pinocchio (1940)
554,Pretty Woman (1990)
555,Window to Paris (1994)
556,"Wild Bunch, The (1969)"
557,Love and a .45 (1994)
558,"Great Day in Harlem, A (1994)"
559,"Bye Bye, Love (1995)"
560,One Fine Day (1996)
561,Candyman: Farewell to the Flesh (1995)
562,Fargo (1996)
563,Homeward Bound II: Lost in San Francisco (1996)
564,Heavy Metal (1981)
565,Hellraiser: Bloodline (1996)
566,"Pallbearer, The (1996)"
567,Jane Eyre (1996)
568,Loaded (1994)
569,Bread and Chocolate (Pane e cioccolata) (1973)
570,"Aristocats, The (1970)"
571,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)"
572,Two Much (1996)
573,Ed (1996)
574,My Favorite Season (1993)
575,"Thin Line Between Love and Hate, A (1996)"
576,"Last Supper, The (1995)"
577,Primal Fear (1996)
578,Carried Away (1996)
579,All Dogs Go to Heaven 2 (1996)
580,Land and Freedom (Tierra y libertad) (1995)
581,Denise Calls Up (1995)
582,"Family Thing, A (1996)"
583,Sgt. Bilko (1996)
584,Jack and Sarah (1995)
585,Girl 6 (1996)
586,Diabolique (1996)
587,Nelly & Monsieur Arnaud (1995)
588,Courage Under Fire (1996)
589,Mission: Impossible (1996)
590,Cold Fever (Á köldum klaka) (1994)
591,Moll Flanders (1996)
592,"301, 302 (1995)"
593,Dragonheart (1996)
594,Eddie (1996)
595,Purple Noon (1960)
596,James and the Giant Peach (1996)
597,Fear (1996)
598,Kids in the Hall: Brain Candy (1996)
599,Faithful (1996)
600,Underground (1995)
601,Bloodsport 2 (1995)
602,Pather Panchali (1955)
603,Aparajito (1956)
604,"World of Apu, The (Apur Sansar) (1959)"
605,Mystery Science Theater 3000: The Movie (1996)
606,Space Jam (1996)
607,Barbarella (1968)
608,Some Folks Call It a Sling Blade (1993)
609,Alphaville (1965)
610,Clean Slate (Coup de Torchon) (1981)
611,It's My Party (1995)
612,Operation Dumbo Drop (1995)
613,Mrs. Winterbourne (1996)
614,Solo (1996)
615,"Substitute, The (1996)"
616,True Crime (1995)
617,Feeling Minnesota (1996)
618,Delta of Venus (1994)
619,Angus (1995)
620,Faces (1968)
621,Boys (1996)
622,"Quest, The (1996)"
623,Cosi (1996)
624,Mulholland Falls (1996)
625,"Truth About Cats & Dogs, The (1996)"
626,Oliver & Company (1988)
627,Celtic Pride (1996)
628,Flipper (1996)
629,Dead Man (1995)
630,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
631,Switchblade Sisters (1975)
632,"Visitors, The (Les Visiteurs) (1993)"
633,Multiplicity (1996)
634,Wallace & Gromit: The Best of Aardman Animation (1996)
635,"Haunted World of Edward D. Wood Jr., The (1995)"
636,"Craft, The (1996)"
637,"Great White Hype, The (1996)"
638,Last Dance (1996)
639,Cold Comfort Farm (1995)
640,Heaven's Prisoners (1996)
641,Original Gangstas (1996)
642,"Rock, The (1996)"
643,Cemetery Man (Dellamorte Dellamore) (1994)
644,Twister (1996)
645,Barb Wire (1996)
646,Ghost in the Shell (Kokaku kidotai) (1995)
647,Thinner (1996)
648,Spy Hard (1996)
649,"Close Shave, A (1995)"
650,Force of Evil (1948)
651,"Stupids, The (1996)"
652,"Arrival, The (1996)"
653,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
654,Careful (1992)
655,"Month by the Lake, A (1995)"
656,Gold Diggers: The Secret of Bear Mountain (1995)
657,Kim (1950)
658,Maya Lin: A Strong Clear Vision (1994)
659,Stalingrad (1993)
660,"Phantom, The (1996)"
661,Striptease (1996)
662,Heavy (1995)
663,Jack (1996)
664,I Shot Andy Warhol (1996)
665,"Grass Harp, The (1995)"
666,Marlene Dietrich: Shadow and Light (1996)
667,"Vie est belle, La (Life is Rosey) (1987)"
668,Spirits of the Dead (Tre Passi nel Delirio) (1968)
669,Trainspotting (1996)
670,'Til There Was You (1997)
671,Independence Day (ID4) (1996)
672,Stealing Beauty (1996)
673,"Fan, The (1996)"
674,"Hunchback of Notre Dame, The (1996)"
675,"Cable Guy, The (1996)"
676,Kingpin (1996)
677,Eraser (1996)
678,"Nutty Professor, The (1996)"
679,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)
680,Daylight (1996)
681,"Frighteners, The (1996)"
682,Lone Star (1996)
683,Harriet the Spy (1996)
684,Phenomenon (1996)
685,Walking and Talking (1996)
686,She's the One (1996)
687,"Time to Kill, A (1996)"
688,American Buffalo (1996)
689,"Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)"
690,Alaska (1996)
691,Fled (1996)
692,Kazaam (1996)
693,"Bewegte Mann, Der (1994)"
694,Larger Than Life (1996)
695,Power 98 (1995)
696,"Very Brady Sequel, A (1996)"
697,Kaspar Hauser (1993)
698,"Adventures of Pinocchio, The (1996)"
699,Joe's Apartment (1996)
700,"First Wives Club, The (1996)"
701,Stonewall (1995)
702,Ransom (1996)
703,High School High (1996)
704,Foxfire (1996)
705,Chain Reaction (1996)
706,Matilda (1996)
707,Emma (1996)
708,"Crow: City of Angels, The (1996)"
709,House Arrest (1996)
710,Eyes Without a Face (1959)
711,Tales from the Crypt Presents: Bordello of Blood (1996)
712,"Story of Xinghua, The (1993)"
713,Flirt (1995)
714,"Big Squeeze, The (1996)"
715,"Spitfire Grill, The (1996)"
716,Escape from L.A. (1996)
717,Cyclo (1995)
718,Basquiat (1996)
719,Tin Cup (1996)
720,"Ballad of Narayama, The (Narayama Bushiko) (1958)"
721,"Godfather, The (1972)"
722,"Maybe, Maybe Not (Bewegte Mann, Der) (1994)"
723,Supercop (1992)
724,Manny & Lo (1996)
725,Celestial Clockwork (1994)
726,"Wife, The (1995)"
727,Bound (1996)
728,Carpool (1996)
729,Kansas City (1996)
730,Gone Fishin' (1997)
731,Killer: A Journal of Murder (1995)
732,Nothing to Lose (1994)
733,Police Story 4: Project S (Chao ji ji hua) (1993)
734,Girls Town (1996)
735,"Relic, The (1997)"
736,"Island of Dr. Moreau, The (1996)"
737,First Kid (1996)
738,"Trigger Effect, The (1996)"
739,Bogus (1996)
740,Bulletproof (1996)
741,Land Before Time III: The Time of the Great Giving (1995)
742,Halloween: The Curse of Michael Myers (1995)
743,Twelfth Night (1996)
744,Mother Night (1996)
745,Wild Reeds (1994)
746,For Whom the Bell Tolls (1943)
747,"Philadelphia Story, The (1940)"
748,Singin' in the Rain (1952)
749,"American in Paris, An (1951)"
750,Funny Face (1957)
751,Breakfast at Tiffany's (1961)
752,Vertigo (1958)
753,Rear Window (1954)
754,It Happened One Night (1934)
755,Gaslight (1944)
756,"Gay Divorcee, The (1934)"
757,North by Northwest (1959)
758,"Apartment, The (1960)"
759,Some Like It Hot (1959)
760,Charade (1963)
761,Casablanca (1942)
762,"Maltese Falcon, The (1941)"
763,My Fair Lady (1964)
764,Sabrina (1954)
765,Roman Holiday (1953)
766,"Little Princess, The (1939)"
767,Meet Me in St. Louis (1944)
768,"Wizard of Oz, The (1939)"
769,Gone with the Wind (1939)
770,My Favorite Year (1982)
771,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
772,Citizen Kane (1941)
773,2001: A Space Odyssey (1968)
774,Golden Earrings (1947)
775,All About Eve (1950)
776,"Women, The (1939)"
777,Rebecca (1940)
778,Foreign Correspondent (1940)
779,Notorious (1946)
780,Spellbound (1945)
781,"Affair to Remember, An (1957)"
782,To Catch a Thief (1955)
783,Father of the Bride (1950)
784,"Band Wagon, The (1953)"
785,Ninotchka (1939)
786,Love in the Afternoon (1957)
787,Gigi (1958)
788,"Reluctant Debutante, The (1958)"
789,"Adventures of Robin Hood, The (1938)"
790,"Mark of Zorro, The (1940)"
791,Laura (1944)
792,"Ghost and Mrs. Muir, The (1947)"
793,Lost Horizon (1937)
794,Top Hat (1935)
795,To Be or Not to Be (1942)
796,My Man Godfrey (1936)
797,Giant (1956)
798,East of Eden (1955)
799,"Thin Man, The (1934)"
800,His Girl Friday (1940)
801,Around the World in 80 Days (1956)
802,It's a Wonderful Life (1946)
803,Mr. Smith Goes to Washington (1939)
804,Bringing Up Baby (1938)
805,Penny Serenade (1941)
806,"Scarlet Letter, The (1926)"
807,Lady of Burlesque (1943)
808,Of Human Bondage (1934)
809,Angel on My Shoulder (1946)
810,Little Lord Fauntleroy (1936)
811,They Made Me a Criminal (1939)
812,"Inspector General, The (1949)"
813,Angel and the Badman (1947)
814,"39 Steps, The (1935)"
815,"Walk in the Sun, A (1945)"
816,"Outlaw, The (1943)"
817,Night of the Living Dead (1968)
818,"African Queen, The (1951)"
819,Beat the Devil (1954)
820,Cat on a Hot Tin Roof (1958)
821,"Last Time I Saw Paris, The (1954)"
822,Meet John Doe (1941)
823,Algiers (1938)
824,"Farewell to Arms, A (1932)"
825,"Blue Angel, The (Blaue Engel, Der) (1930)"
826,In the Line of Duty 2 (1987)
827,Picnic (1955)
828,"Pompatus of Love, The (1996)"
829,Fly Away Home (1996)
830,Bliss (1997)
831,Grace of My Heart (1996)
832,Maximum Risk (1996)
833,Michael Collins (1996)
834,"Rich Man's Wife, The (1996)"
835,Infinity (1996)
836,Big Night (1996)
837,Last Man Standing (1996)
838,Caught (1996)
839,Set It Off (1996)
840,2 Days in the Valley (1996)
841,Curdled (1996)
842,Ed's Next Move (1996)
843,Extreme Measures (1996)
844,"Glimmer Man, The (1996)"
845,D3: The Mighty Ducks (1996)
846,"Chamber, The (1996)"
847,"Apple Dumpling Gang, The (1975)"
848,"Davy Crockett, King of the Wild Frontier (1955)"
849,Escape to Witch Mountain (1975)
850,"Love Bug, The (1969)"
851,Herbie Rides Again (1974)
852,Old Yeller (1957)
853,"Parent Trap, The (1961)"
854,Pollyanna (1960)
855,Homeward Bound: The Incredible Journey (1993)
856,"Shaggy Dog, The (1959)"
857,Swiss Family Robinson (1960)
858,That Darn Cat! (1965)
859,"20,000 Leagues Under the Sea (1954)"
860,Cool Runnings (1993)
861,Angels in the Outfield (1994)
862,Cinderella (1950)
863,Winnie the Pooh and the Blustery Day (1968)
864,"Three Caballeros, The (1945)"
865,"Sword in the Stone, The (1963)"
866,So Dear to My Heart (1949)
867,Robin Hood: Prince of Thieves (1991)
868,Mary Poppins (1964)
869,Dumbo (1941)
870,Pete's Dragon (1977)
871,Bedknobs and Broomsticks (1971)
872,Alice in Wonderland (1951)
873,"Fox and the Hound, The (1981)"
874,Freeway (1996)
875,"Sound of Music, The (1965)"
876,Die Hard (1988)
877,"Lawnmower Man, The (1992)"
878,Unhook the Stars (1996)
879,"Secret Agent, The (1996)"
880,Secrets & Lies (1996)
881,That Thing You Do! (1996)
882,To Gillian on Her 37th Birthday (1996)
883,Surviving Picasso (1996)
884,Beautiful Thing (1996)
